freq: 3 c: 1 calcSize 100 gridSize 400, energy
0.5,0.000318589
1.5,0.000141928
2.5,0.000211853
3.5,0.000182827
4.5,0.000197541
5.5,0.000185416
6.5,0.000196876
7.5,0.000187814
8.5,0.000193251
9.5,0.000190814
10.5,0.000191415
11.5,0.000191736
12.5,0.0001906
13.5,0.000192513
14.5,0.000189682
15.5,0.000193207
16.5,0.000189071
17.5,0.000193412
18.5,0.000188934
19.5,0.000193312
20.5,0.000188841
21.5,0.000193229
22.5,0.000188848
23.5,0.000192863
24.5,0.000189121
25.5,0.00019237
26.5,0.000189363
27.5,0.0001919
28.5,0.000189635
29.5,0.000191332
30.5,0.000189968
31.5,0.000190749
32.5,0.000190236
33.5,0.000190239
34.5,0.000190429
35.5,0.000189751
36.5,0.000190593
37.5,0.000189304
38.5,0.000190646
39.5,0.000188973
40.5,0.000190591
41.5,0.00018869
42.5,0.000190476
43.5,0.000188474
44.5,0.000190252
45.5,0.000188345
46.5,0.000189946
47.5,0.000188252
48.5,0.000189594
49.5,0.000188191
50.5,0.000189184
51.5,0.000188166
52.5,0.000188736
53.5,0.00018813
54.5,0.000188293
55.5,0.000188076
56.5,0.000187839
57.5,0.000188006
58.5,0.000187401
59.5,0.000187881
60.5,0.000186999
61.5,0.000187708
62.5,0.000186618
63.5,0.000187487
64.5,0.000186275
65.5,0.0001872
66.5,0.000185973
67.5,0.000186861
68.5,0.000185692
69.5,0.000186479
70.5,0.000185438
71.5,0.000186046
72.5,0.000185202
73.5,0.000185586
74.5,0.000184961
75.5,0.000185105
76.5,0.000184722
77.5,0.000184606
78.5,0.000184463
79.5,0.000184111
80.5,0.000184176
81.5,0.000183618
82.5,0.000183862
83.5,0.000183133
84.5,0.000183506
85.5,0.000182668
86.5,0.000183108
87.5,0.000182215
88.5,0.000182673
89.5,0.000181777
90.5,0.000182192
91.5,0.000181353
92.5,0.000181679
93.5,0.000180931
94.5,0.000181135
95.5,0.000180513
96.5,0.000180562
97.5,0.000180088
98.5,0.000179974
99.5,0.000179648
