freq: 3 c: 1 calcSize 100, energy Only One source turned on
0.1,0.00239394
0.3,0.00239393
0.5,0.00239389
0.7,0.00239382
0.9,0.00239373
1.1,0.0023936
1.3,0.00239345
1.5,0.00239328
1.7,0.00239307
1.9,0.00239284
2.1,0.00239258
2.3,0.00239229
2.5,0.00239198
2.7,0.00239164
2.9,0.00239127
3.1,0.00239088
3.3,0.00239045
3.5,0.00239
3.7,0.00238952
3.9,0.00238902
4.1,0.00238848
4.3,0.00238792
4.5,0.00238733
4.7,0.00238671
4.9,0.00238607
5.1,0.00238539
5.3,0.00238469
5.5,0.00238396
5.7,0.0023832
5.9,0.00238241
6.1,0.0023816
6.3,0.00238075
6.5,0.00237988
6.7,0.00237898
6.9,0.00237805
7.1,0.00237709
7.3,0.0023761
7.5,0.00237508
7.7,0.00237404
7.9,0.00237296
8.1,0.00237185
8.3,0.00237072
8.5,0.00236955
8.7,0.00236835
8.9,0.00236713
9.1,0.00236587
9.3,0.00236459
9.5,0.00236327
9.7,0.00236192
9.9,0.00236054
10.1,0.00235913
10.3,0.00235769
10.5,0.00235622
10.7,0.00235472
10.9,0.00235318
11.1,0.00235161
11.3,0.00235001
11.5,0.00234838
11.7,0.00234672
11.9,0.00234502
12.1,0.00234329
12.3,0.00234153
12.5,0.00233973
12.7,0.0023379
12.9,0.00233603
13.1,0.00233414
13.3,0.0023322
13.5,0.00233024
13.7,0.00232824
13.9,0.0023262
14.1,0.00232413
14.3,0.00232202
14.5,0.00231988
14.7,0.0023177
14.9,0.00231548
15.1,0.00231323
15.3,0.00231094
15.5,0.00230862
15.7,0.00230625
15.9,0.00230385
16.1,0.00230141
16.3,0.00229893
16.5,0.00229641
16.7,0.00229386
16.9,0.00229126
17.1,0.00228862
17.3,0.00228595
17.5,0.00228323
17.7,0.00228048
17.9,0.00227768
18.1,0.00227484
18.3,0.00227196
18.5,0.00226903
18.7,0.00226606
18.9,0.00226305
19.1,0.00225999
19.3,0.00225689
19.5,0.00225375
19.7,0.00225056
19.9,0.00224733
