freq: 3 c: 1 calcSize 100, energy
0.1,0.00950054
0.3,0.00893572
0.5,0.00793894
0.7,0.00671021
0.9,0.0054823
1.1,0.00446788
1.3,0.00381342
1.5,0.003572
1.7,0.00370087
1.9,0.0040827
2.1,0.00456311
2.3,0.00499346
2.5,0.00526714
2.7,0.00534029
2.9,0.00523323
3.1,0.00501411
3.3,0.00477164
3.5,0.00458577
3.7,0.004505
3.9,0.00453633
4.1,0.00464917
4.3,0.00479041
4.5,0.00490479
4.7,0.00495343
4.9,0.00492501
5.1,0.0048366
5.3,0.00472505
5.5,0.0046325
5.7,0.00459145
5.9,0.0046142
6.1,0.00469
6.3,0.00479014
6.5,0.00487883
6.7,0.00492573
6.9,0.00491597
7.1,0.0048543
7.3,0.00476253
7.5,0.00467134
7.7,0.00460965
7.9,0.0045951
8.1,0.00462889
8.3,0.0046963
8.5,0.00477249
8.7,0.00483127
8.9,0.00485391
9.1,0.00483479
9.3,0.00478252
9.5,0.00471611
9.7,0.00465799
9.9,0.00462627
10.1,0.0046289
10.3,0.00466163
10.5,0.00471017
10.7,0.00475566
10.9,0.00478139
11.1,0.00477836
11.3,0.00474798
11.5,0.00470108
11.7,0.00465366
11.9,0.00462114
12.1,0.00461312
12.3,0.00463027
12.5,0.00466451
12.7,0.00470214
12.9,0.00472878
13.1,0.00473435
13.3,0.00471631
13.5,0.0046803
13.7,0.00463785
13.9,0.00460223
14.1,0.00458388
14.3,0.00458694
14.5,0.00460811
14.7,0.00463806
14.9,0.00466484
15.1,0.00467806
15.3,0.00467233
15.5,0.00464887
15.7,0.00461484
15.9,0.00458062
16.1,0.00455616
16.3,0.00454761
16.5,0.00455539
16.7,0.0045743
16.9,0.00459556
17.1,0.00460995
17.3,0.00461101
17.5,0.00459713
17.7,0.00457189
17.9,0.00454261
18.1,0.00451769
18.3,0.00450364
18.5,0.00450294
18.7,0.00451331
18.9,0.00452869
19.1,0.00454146
19.3,0.00454513
19.5,0.00453652
19.7,0.00451677
19.9,0.00449077
